compitition;for;against;home/away;number of goals
Liga NOS;Sporting CP;Moreirense FC;H;2
Liga NOS;Sporting CP;Boavista Porto FC;A;1
Premier League;Manchester United;Portsmouth FC;H;1
FA Cup;Manchester United;Manchester City;H;1
Premier League;Manchester United;Tottenham Hotspur;H;1
Premier League;Manchester United;Birmingham City;A;1
Premier League;Manchester United;Aston Villa;A;1
FA Cup;Manchester United;Millwall FC;H;1
Premier League;Manchester United;Southampton FC;H;1
FA Cup;Manchester United;Exeter City;A;1
Premier League;Manchester United;Aston Villa;H;1
Premier League;Manchester United;Arsenal FC;A;2
FA Cup;Manchester United;Everton FC;A;1
FA Cup;Manchester United;Southampton FC;A;1
Premier League;Manchester United;Fulham FC;H;1
FA Cup;Manchester United;Newcastle United;A;1
UEFA Champions League Qualifying;Manchester United;Debreceni VSC;H;1
Premier League;Manchester United;Middlesbrough FC;A;1
EFL Cup;Manchester United;West Bromwich Albion;H;1
Premier League;Manchester United;Bolton Wanderers;H;2
Premier League;Manchester United;Fulham FC;H;2
Premier League;Manchester United;Portsmouth FC;A;2
EFL Cup;Manchester United;Wigan Athletic;H;1
Premier League;Manchester United;Wigan Athletic;A;1
Premier League;Manchester United;Charlton Athletic;H;1
Premier League;Manchester United;Fulham FC;H;1
Premier League;Manchester United;Reading FC;A;1
Premier League;Manchester United;Bolton Wanderers;A;1
Premier League;Manchester United;Portsmouth FC;H;1
Premier League;Manchester United;Everton FC;H;1
Premier League;Manchester United;Manchester City;H;1
Premier League;Manchester United;Aston Villa;A;2
Premier League;Manchester United;Wigan Athletic;H;2
Premier League;Manchester United;Reading FC;H;2
Premier League;Manchester United;Aston Villa;H;1
Premier League;Manchester United;Watford FC;H;1
Premier League;Manchester United;Tottenham Hotspur;A;1
Premier League;Manchester United;Fulham FC;A;1
FA Cup;Manchester United;Middlesbrough FC;A;1
FA Cup;Manchester United;Middlesbrough FC;H;1
UEFA Champions League;Manchester United;AS Roma;H;2
FA Cup;Manchester United;Watford FC;A;1
UEFA Champions League;Manchester United;AC Milan;H;1
Premier League;Manchester United;Manchester City;A;1
UEFA Champions League;Manchester United;Sporting CP;A;1
Premier League;Manchester United;Birmingham City;A;1
